code,q10,cte,thr,decay,ctmax,max.pf,ta.opt,breadth.50,breadth.80,r.square,n.samples,K.param,AIC,type,code2
tophoto,2.014421374,0.27445767,22.14343821,0.000800817,57.48073373,3.744092046,46,22.21,13.16,0.995306684,11,5,-43.703993,biochem,tophoto
aohotphoto,1.617404656,0.420448825,16.52918919,0.001150104,46.0162412,1.419541149,31.8,31.71,17.96,0.893927069,7,5,-7.641850185,biochem,aohotphoto
ascoolphoto,1.596514179,1.265373846,13.6652909,0.000897823,47.03900607,3.947743015,31.9,33.92,19.3,0.978751393,8,5,-22.30474848,biochem,ascoolphoto
ashotphoto,2.244261839,0.243853397,-6.023021792,0.000359646,46.707512,1.633997009,35.8,26.37,14.66,0.997341078,8,5,-36.88408017,biochem,ashotphoto
tocoolphoto,1.812957856,0.198374091,19.98687198,0.0019173,42.82470895,0.963967264,31.5,25.18,14.21,0.945835062,6,5,-7.018752235,biochem,tocoolphoto
tohotphoto,2.066480431,0.413618616,21.44828239,0.000880234,55.15378654,5.569665215,44.1,23.4,14.58,0.98995947,14,5,-47.93849741,biochem,tohotphoto
alhotphoto,2.124579099,0.281305278,18.70586488,0.000947942,51.18535007,3.27184271,40.5,24.99,14.04,0.990446237,17,5,-61.7167691,biochem,alhotphoto
nocoolphoto,1.441426224,0.870991592,12.45837344,0.000827896,47.21296834,1.945524683,29.3,39.87,22.34,0.962889065,10,5,-24.89859448,biochem,nocoolphoto
ldcoolphoto,1.120577618,1.678930867,30.39665623,0.00290886,48.9378887,2.399547893,32.3,44.38,28.36,0.993254771,8,5,-25.48984866,biochem,ldcoolphoto
ldhotphoto,1.570925075,0.577200239,20.22017016,0.000862075,54.2788203,2.338866251,38.7,34.36,19.85,0.988152123,10,5,-40.49249685,biochem,ldhotphoto
no20cphoto1,1.438257189,0.859208504,12.35051032,0.00078687,47.99959766,1.929754076,29.9,40.43,22.71,0.957565971,10,5,-24.34541497,biochem,no20cphoto1
no45cphoto,1.662054384,0.465566781,42.58958249,0.013404144,51.22693115,4.247514523,44.4,19.56,8.6,0.971596418,18,5,-46.6293734,biochem,no45cphoto
no45cphoto1,1.622693887,0.388800574,19.0026392,0.000841393,53.47735387,1.705063892,38.5,33.7,19.19,0.955353383,10,5,-23.24517972,biochem,no45cphoto1
hv15photo,1.79481776,1.693378884,12.08793434,0.001366545,39.13922688,5.7186607,27,27.28,15.52,0.999271313,5,5,-31.68658608,biochem,hv15photo
vf15photo,1.638193781,1.441099486,16.77307509,0.001901111,39.70794412,4.377450744,27.1,28.18,15.51,0.999540222,5,5,-34.32260675,biochem,vf15photo
ca25photo,1.607206029,1.119435768,16.21117795,0.001492224,42.09825751,3.352814703,28.5,30.29,16.9,0.98216768,5,5,-17.39970635,biochem,ca25photo
le25photo,2.523204405,0.36847383,16.12342531,0.001677261,40.5408408,4.111458914,32,19.83,11.17,0.996301198,5,5,-18.06279149,biochem,le25photo
gm25photo,2.536430552,0.358529543,18.09034202,0.002047497,40.19014552,4.255890664,31.9,19.07,10.78,0.997855899,5,5,-20.28467554,biochem,gm25photo
at25photo,2.314367056,0.519665681,16.29125572,0.001582475,41.42930748,4.644949444,32.2,21.34,12.06,0.991859399,5,5,-14.41468202,biochem,at25photo
ecphoto,2.079833809,0.279216066,14.43233271,0.001421539,40.95520938,1.649519084,30.6,23.7,13.44,0.972712594,6,5,-11.97348395,biochem,ecphoto
cccphoto,1.658981763,0.450325446,35.35789103,0.007061833,47.25773496,2.941917175,38.7,21.68,10.26,0.996755605,6,5,-25.99767698,biochem,cccphoto
mg1410photo,2.334657765,0.241205929,12.08872982,0.001497754,37.92797137,1.612940266,28.7,21.42,12.08,0.978997755,7,5,-14.62412989,biochem,mg1410photo
mg2622photo,2.653233066,0.23126361,11.22666126,0.001201995,40.07020935,2.530162916,31.6,20.08,11.24,0.995023177,7,5,-22.82262536,biochem,mg2622photo
ld20photo,1.384515504,1.963125969,24.53633308,0.001258608,52.72371843,5.28830155,35.5,39.32,20.65,0.920769536,15,5,-28.09809238,biochem,ld20photo
ld35photo,1.659494679,1.000745285,28.14808917,0.00156107,53.45789664,5.930383264,40.5,28.55,16.2,0.971773762,14,5,-42.75429885,biochem,ld35photo
ld45photo,1.664882656,0.785340734,34.82643436,0.002330138,55.54259108,5.949409063,43.7,23.87,14.41,0.986237545,13,5,-47.10890856,biochem,ld45photo
spotphoto,2.101688048,0.372401687,15.69570337,0.001278951,43.65801273,2.666496245,33.3,23.98,13.56,0.944314185,26,5,-66.32452629,biochem,spotphoto
muhphoto,2.582660929,0.47505762,13.62128164,0.001344512,40.89332705,5.404339441,32.3,20.18,11.32,0.978901687,10,5,-21.90652837,biochem,muhphoto
carphoto,1.725898409,0.75089579,9.423861902,0.00091792,42.43022193,2.369615234,28.9,30.84,17.55,0.930585297,9,5,-17.62402423,biochem,carphoto
ap15photo,2.239847837,0.909896099,6.87753208,0.001675724,31.30614254,3.30859233,21.9,21.65,12.27,0.929211516,14,5,-24.69421328,biochem,ap15photo
ar15photo,3.172285057,0.336170702,9.923057627,0.001760796,33.7542331,3.698487446,26.6,16.87,9.45,0.99060031,14,5,-48.03006455,biochem,ar15photo
ap30photo,2.454969894,0.36208824,8.851624241,0.001488569,34.77046253,2.103228214,25.9,20.63,11.61,0.985613818,17,5,-58.40849384,biochem,ap30photo
ar30photo,2.77333334,0.193521936,22.61120782,0.00428585,37.88621892,3.192558974,31,15.54,8.84,0.991822461,10,5,-35.7679576,biochem,ar30photo
ft1photo,1.690169753,0.86273394,16.98102252,0.000984512,48.85156556,3.68438083,35.1,31.1,17.71,0.974173368,6,5,-15.14754611,biochem,ft1photo
ft2photo,1.847017917,0.644434117,20.0379094,0.001312481,47.64073413,3.906206238,35.8,26.74,15.23,0.998298199,7,5,-41.68086772,biochem,ft2photo
fcphoto,1.328333945,1.000643799,22.82302213,0.001889509,45.82819826,2.11762342,29.7,39.74,19.18,0.989048945,9,5,-45.53433981,biochem,fcphoto
chnaphoto,1.665651518,0.804587812,13.18907504,0.000764606,49.35347113,3.053785519,34.7,33.32,18.94,0.901496069,18,5,-35.11438419,biochem,chnaphoto
sptphoto,2.15077597,0.459803716,12.16057669,0.001259725,40.33545717,2.740977688,30.2,23.59,13.31,0.97149348,8,5,-12.46126855,biochem,sptphoto
ags1photo,1.482808469,1.702873824,11.35142617,0.000508014,55.71861968,4.870205541,37.1,40.92,24.03,0.98237383,14,5,-55.42655317,biochem,ags1photo
ags2photo,1.410156179,1.644238234,13.56295764,0.000671967,52.13972799,3.814094493,32.8,43.16,24.3,0.975442506,13,5,-42.6349537,biochem,ags2photo
caa1photo,1.971992935,0.75618251,11.19009306,0.000738601,47.98562562,4.753245756,36.1,27.91,15.67,0.973002727,8,5,-17.42515358,biochem,caa1photo
lyephoto,2.300348648,0.710837553,18.79374399,0.002484822,38.85473539,5.953810316,30.2,19.58,11.16,0.990465577,7,5,-20.16200404,biochem,lyephoto
scrphoto,1.861658743,1.337319147,9.679631435,0.001068178,40.27658443,4.888501035,28.2,27.69,15.72,0.949509241,8,5,-12.78030757,biochem,scrphoto
cr,3.093997628,0.030158269,28.22807016,0.008144283,39.3089331,1.026126612,33.6,12.82,7.16,0.971711685,9,5,-14.10248539,#run,cr
ct,2.792240867,0.057724783,14.46168257,0.001092415,44.71731626,1.149897879,36.5,19.54,10.92,0.945629289,10,5,-9.162760232,#run,ct
cu,2.737908128,0.082876552,15.93826822,0.001146051,45.47742483,1.692778923,37.2,19.73,11.02,0.975716252,10,5,-14.95906423,#run,cu
ef,2.356246769,0.052009271,31.36284726,0.015874175,39.29981148,0.853448021,33.8,13.35,6.5,0.960949855,9,5,-12.21155227,#run,ef
hp,2.305281138,0.061615779,14.34005138,0.001685529,38.69750352,0.443529038,29.5,21.16,11.97,0.796178879,9,5,3.857566194,#run,hp
sk,2.333706387,0.082004238,25.94677715,0.005728548,39.15905568,0.97577254,31.9,16.33,8.98,0.917179409,9,5,-6.484862697,#run,sk
sq,2.545565908,0.138673256,15.21339613,0.001811963,38.70568432,1.382265494,30.3,19.45,10.97,0.828127465,9,5,3.45505273,#run,sq
st,3.289224813,0.09567783,3.003327711,0.000756107,39.37040298,1.573761988,31.9,17.95,9.96,0.969570341,9,5,-14.02280336,#run,st
lea,2.080188069,0.123932258,31.19236941,0.014970025,39.36550572,1.326627872,33.5,14.95,7.06,0.96628562,9,5,-12.61270898,#run,lea
leb,2.104019373,0.079007023,32.45797513,0.021201892,39.32569693,0.941240825,34.1,13.98,6.36,0.978090242,9,5,-17.23950746,#run,leb
ew,3.164370179,0.05031704,4.5762136,0.000683407,42.82874334,1.042199647,35.1,18.6,10.33,0.977604052,9,5,-16.93449388,#run,ew
su,3.816025375,0.046743443,13.26606637,0.001349126,40.49142962,1.864080897,34,15.5,8.62,0.948193486,9,5,-8.432823492,#run,su
