id,taxon,kingdom,phylum,enzyme,trait,trait_unit_SI,temperature,trait_value,citation
ADH001,Bacillus subtilis,Bacteria,Bacillota,Alcohol dehydrogenase,relative activity,percent,30,24.97,Ashraf et al. 2017. Glutathione-dependent formaldehyde dehydrogenase homolog from Bacillus subtilis strain R5 is a propanol-preferring alcohol dehydrogenase. Biochemistry. 82:1
ADH001,Bacillus subtilis,Bacteria,Bacillota,Alcohol dehydrogenase,relative activity,percent,35,33.5,Ashraf et al. 2017. Glutathione-dependent formaldehyde dehydrogenase homolog from Bacillus subtilis strain R5 is a propanol-preferring alcohol dehydrogenase. Biochemistry. 82:1
ADH001,Bacillus subtilis,Bacteria,Bacillota,Alcohol dehydrogenase,relative activity,percent,40,38.73,Ashraf et al. 2017. Glutathione-dependent formaldehyde dehydrogenase homolog from Bacillus subtilis strain R5 is a propanol-preferring alcohol dehydrogenase. Biochemistry. 82:1
ADH001,Bacillus subtilis,Bacteria,Bacillota,Alcohol dehydrogenase,relative activity,percent,45,45.88,Ashraf et al. 2017. Glutathione-dependent formaldehyde dehydrogenase homolog from Bacillus subtilis strain R5 is a propanol-preferring alcohol dehydrogenase. Biochemistry. 82:1
ADH001,Bacillus subtilis,Bacteria,Bacillota,Alcohol dehydrogenase,relative activity,percent,50,66.48,Ashraf et al. 2017. Glutathione-dependent formaldehyde dehydrogenase homolog from Bacillus subtilis strain R5 is a propanol-preferring alcohol dehydrogenase. Biochemistry. 82:1
ADH001,Bacillus subtilis,Bacteria,Bacillota,Alcohol dehydrogenase,relative activity,percent,55,91.2,Ashraf et al. 2017. Glutathione-dependent formaldehyde dehydrogenase homolog from Bacillus subtilis strain R5 is a propanol-preferring alcohol dehydrogenase. Biochemistry. 82:1
ADH001,Bacillus subtilis,Bacteria,Bacillota,Alcohol dehydrogenase,relative activity,percent,60,99.45,Ashraf et al. 2017. Glutathione-dependent formaldehyde dehydrogenase homolog from Bacillus subtilis strain R5 is a propanol-preferring alcohol dehydrogenase. Biochemistry. 82:1
ADH001,Bacillus subtilis,Bacteria,Bacillota,Alcohol dehydrogenase,relative activity,percent,65,58.3,Ashraf et al. 2017. Glutathione-dependent formaldehyde dehydrogenase homolog from Bacillus subtilis strain R5 is a propanol-preferring alcohol dehydrogenase. Biochemistry. 82:1
ADH001,Bacillus subtilis,Bacteria,Bacillota,Alcohol dehydrogenase,relative activity,percent,70,26.21,Ashraf et al. 2017. Glutathione-dependent formaldehyde dehydrogenase homolog from Bacillus subtilis strain R5 is a propanol-preferring alcohol dehydrogenase. Biochemistry. 82:1
HSD001,Bacillus subtilis,Bacteria,Bacillota,Homoserine dehydrogenase,relative activity,percent,25,46.2,Kim et al. 2020. Molecular and Enzymatic Features of Homoserine Dehydrogenase from Bacillus subtilis. Journal of Microbiology and Biotechnology. 30:12
HSD001,Bacillus subtilis,Bacteria,Bacillota,Homoserine dehydrogenase,relative activity,percent,30,64.67,Kim et al. 2020. Molecular and Enzymatic Features of Homoserine Dehydrogenase from Bacillus subtilis. Journal of Microbiology and Biotechnology. 30:12
HSD001,Bacillus subtilis,Bacteria,Bacillota,Homoserine dehydrogenase,relative activity,percent,35,100,Kim et al. 2020. Molecular and Enzymatic Features of Homoserine Dehydrogenase from Bacillus subtilis. Journal of Microbiology and Biotechnology. 30:12
HSD001,Bacillus subtilis,Bacteria,Bacillota,Homoserine dehydrogenase,relative activity,percent,40,98.26,Kim et al. 2020. Molecular and Enzymatic Features of Homoserine Dehydrogenase from Bacillus subtilis. Journal of Microbiology and Biotechnology. 30:12
HSD001,Bacillus subtilis,Bacteria,Bacillota,Homoserine dehydrogenase,relative activity,percent,45,75.21,Kim et al. 2020. Molecular and Enzymatic Features of Homoserine Dehydrogenase from Bacillus subtilis. Journal of Microbiology and Biotechnology. 30:12
HSD001,Bacillus subtilis,Bacteria,Bacillota,Homoserine dehydrogenase,relative activity,percent,50,45.95,Kim et al. 2020. Molecular and Enzymatic Features of Homoserine Dehydrogenase from Bacillus subtilis. Journal of Microbiology and Biotechnology. 30:12
GTP001,Bacillus subtilis,Bacteria,Bacillota,Gamma-glutamyltranspeptidase,relative activity,percent,10,46.44,Wu et al. 2006. Production purification and properties of gamma-glutamyltranspeptidase from a newly isolated Bacillus subtilis NX-2. Journal of Molecular Catalysis B: Enzymatic. 43:1-4
GTP001,Bacillus subtilis,Bacteria,Bacillota,Gamma-glutamyltranspeptidase,relative activity,percent,20,68.85,Wu et al. 2006. Production purification and properties of gamma-glutamyltranspeptidase from a newly isolated Bacillus subtilis NX-2. Journal of Molecular Catalysis B: Enzymatic. 43:1-4
GTP001,Bacillus subtilis,Bacteria,Bacillota,Gamma-glutamyltranspeptidase,relative activity,percent,30,76.56,Wu et al. 2006. Production purification and properties of gamma-glutamyltranspeptidase from a newly isolated Bacillus subtilis NX-2. Journal of Molecular Catalysis B: Enzymatic. 43:1-4
GTP001,Bacillus subtilis,Bacteria,Bacillota,Gamma-glutamyltranspeptidase,relative activity,percent,40,100.16,Wu et al. 2006. Production purification and properties of gamma-glutamyltranspeptidase from a newly isolated Bacillus subtilis NX-2. Journal of Molecular Catalysis B: Enzymatic. 43:1-4
GTP001,Bacillus subtilis,Bacteria,Bacillota,Gamma-glutamyltranspeptidase,relative activity,percent,50,96.48,Wu et al. 2006. Production purification and properties of gamma-glutamyltranspeptidase from a newly isolated Bacillus subtilis NX-2. Journal of Molecular Catalysis B: Enzymatic. 43:1-4
GTP001,Bacillus subtilis,Bacteria,Bacillota,Gamma-glutamyltranspeptidase,relative activity,percent,60,90.43,Wu et al. 2006. Production purification and properties of gamma-glutamyltranspeptidase from a newly isolated Bacillus subtilis NX-2. Journal of Molecular Catalysis B: Enzymatic. 43:1-4
GTP001,Bacillus subtilis,Bacteria,Bacillota,Gamma-glutamyltranspeptidase,relative activity,percent,70,39.33,Wu et al. 2006. Production purification and properties of gamma-glutamyltranspeptidase from a newly isolated Bacillus subtilis NX-2. Journal of Molecular Catalysis B: Enzymatic. 43:1-4
GTP001,Bacillus subtilis,Bacteria,Bacillota,Gamma-glutamyltranspeptidase,relative activity,percent,80,11.46,Wu et al. 2006. Production purification and properties of gamma-glutamyltranspeptidase from a newly isolated Bacillus subtilis NX-2. Journal of Molecular Catalysis B: Enzymatic. 43:1-4
MGT001,Bacillus subtilis,Bacteria,Bacillota,glycosyltransferase Bs-YjiC,relative activity,percent,20,57.79,"Dai et al. 2017. Exploiting the aglycon promiscuity of glycosyltransferase Bs-YjiC from Bacillus subtilis and its application in synthesis of glycosides. Journal of Biotechnology, 248"
MGT001,Bacillus subtilis,Bacteria,Bacillota,glycosyltransferase Bs-YjiC,relative activity,percent,25,78.44,"Dai et al. 2017. Exploiting the aglycon promiscuity of glycosyltransferase Bs-YjiC from Bacillus subtilis and its application in synthesis of glycosides. Journal of Biotechnology, 248"
