"type","ta","pf","genus","species","v3","v4","v5","v7","v8","code","ref","q10","cte","thr","decay","ctmax","max.pf","ta.opt","breadth.50","breadth.80","r.square","n.samples","K.param","AIC","type2","u_yopt","u_Topt","u_Delta","u_Tc"
"pop",7,0.00591,"Acarus","farris",NA,NA,NA,NA,NA,"af","Sanchez-Ramos_&_Castañera_2007",4.766181776,0.011343315,10.70920424,0.002706459,29.93123488,0.252502216,24.6,12.74,7.12,0.978568004,6,5,-8.238861339,"fit",0.253918502048447,24.7296461050983,5.14579922425151,29.8754453293498
"pop",10,0.05253,"Acarus","farris",NA,NA,NA,NA,NA,"af","Sanchez-Ramos_&_Castañera_2007",4.766181776,0.011343315,10.70920424,0.002706459,29.93123488,0.252502216,24.6,12.74,7.12,0.978568004,6,5,-8.238861339,"fit",0.253918502048447,24.7296461050983,5.14579922425151,29.8754453293498
"pop",15,0.12643,"Acarus","farris",NA,NA,NA,NA,NA,"af","Sanchez-Ramos_&_Castañera_2007",4.766181776,0.011343315,10.70920424,0.002706459,29.93123488,0.252502216,24.6,12.74,7.12,0.978568004,6,5,-8.238861339,"fit",0.253918502048447,24.7296461050983,5.14579922425151,29.8754453293498
"pop",20,0.20031,"Acarus","farris",NA,NA,NA,NA,NA,"af","Sanchez-Ramos_&_Castañera_2007",4.766181776,0.011343315,10.70920424,0.002706459,29.93123488,0.252502216,24.6,12.74,7.12,0.978568004,6,5,-8.238861339,"fit",0.253918502048447,24.7296461050983,5.14579922425151,29.8754453293498
"pop",25,0.24657,"Acarus","farris",NA,NA,NA,NA,NA,"af","Sanchez-Ramos_&_Castañera_2007",4.766181776,0.011343315,10.70920424,0.002706459,29.93123488,0.252502216,24.6,12.74,7.12,0.978568004,6,5,-8.238861339,"fit",0.253918502048447,24.7296461050983,5.14579922425151,29.8754453293498
"pop",29,0.10071,"Acarus","farris",NA,NA,NA,NA,NA,"af","Sanchez-Ramos_&_Castañera_2007",4.766181776,0.011343315,10.70920424,0.002706459,29.93123488,0.252502216,24.6,12.74,7.12,0.978568004,6,5,-8.238861339,"fit",0.253918502048447,24.7296461050983,5.14579922425151,29.8754453293498
"pop",10,0.06144,"Aphis","gossypii",NA,NA,NA,NA,NA,"ag1","Parajulee_2007",2.323462113,0.046727403,15.12904294,0.001659507,39.67672512,0.37164447,30.5,21.1,11.93,0.868143091,6,5,0.451029441,"fit",0.373944522655958,30.7760710122005,8.50251640866595,39.2785874208665
"pop",15,0.14962,"Aphis","gossypii",NA,NA,NA,NA,NA,"ag1","Parajulee_2007",2.323462113,0.046727403,15.12904294,0.001659507,39.67672512,0.37164447,30.5,21.1,11.93,0.868143091,6,5,0.451029441,"fit",0.373944522655958,30.7760710122005,8.50251640866595,39.2785874208665
"pop",20,0.27704,"Aphis","gossypii",NA,NA,NA,NA,NA,"ag1","Parajulee_2007",2.323462113,0.046727403,15.12904294,0.001659507,39.67672512,0.37164447,30.5,21.1,11.93,0.868143091,6,5,0.451029441,"fit",0.373944522655958,30.7760710122005,8.50251640866595,39.2785874208665
"pop",25,0.373031,"Aphis","gossypii",NA,NA,NA,NA,NA,"ag1","Parajulee_2007",2.323462113,0.046727403,15.12904294,0.001659507,39.67672512,0.37164447,30.5,21.1,11.93,0.868143091,6,5,0.451029441,"fit",0.373944522655958,30.7760710122005,8.50251640866595,39.2785874208665
"pop",30,0.31218,"Aphis","gossypii",NA,NA,NA,NA,NA,"ag1","Parajulee_2007",2.323462113,0.046727403,15.12904294,0.001659507,39.67672512,0.37164447,30.5,21.1,11.93,0.868143091,6,5,0.451029441,"fit",0.373944522655958,30.7760710122005,8.50251640866595,39.2785874208665
"pop",35,0.32363,"Aphis","gossypii",NA,NA,NA,NA,NA,"ag1","Parajulee_2007",2.323462113,0.046727403,15.12904294,0.001659507,39.67672512,0.37164447,30.5,21.1,11.93,0.868143091,6,5,0.451029441,"fit",0.373944522655958,30.7760710122005,8.50251640866595,39.2785874208665
"pop",15,0.208,"Aphis","gossypii",NA,NA,NA,NA,NA,"ag2","Satar_et_al_2005",3.069488289,0.040240239,16.05223463,0.003366495,33.28722421,0.497124145,26.5,15.45,8.75,0.952395098,8,5,-14.86282999,"fit",0.496396750254499,26.7769705319795,6.43867214733827,33.2156426793178
"pop",17.5,0.291,"Aphis","gossypii",NA,NA,NA,NA,NA,"ag2","Satar_et_al_2005",3.069488289,0.040240239,16.05223463,0.003366495,33.28722421,0.497124145,26.5,15.45,8.75,0.952395098,8,5,-14.86282999,"fit",0.496396750254499,26.7769705319795,6.43867214733827,33.2156426793178
"pop",20,0.358,"Aphis","gossypii",NA,NA,NA,NA,NA,"ag2","Satar_et_al_2005",3.069488289,0.040240239,16.05223463,0.003366495,33.28722421,0.497124145,26.5,15.45,8.75,0.952395098,8,5,-14.86282999,"fit",0.496396750254499,26.7769705319795,6.43867214733827,33.2156426793178
"pop",22.5,0.424,"Aphis","gossypii",NA,NA,NA,NA,NA,"ag2","Satar_et_al_2005",3.069488289,0.040240239,16.05223463,0.003366495,33.28722421,0.497124145,26.5,15.45,8.75,0.952395098,8,5,-14.86282999,"fit",0.496396750254499,26.7769705319795,6.43867214733827,33.2156426793178
"pop",25,0.526,"Aphis","gossypii",NA,NA,NA,NA,NA,"ag2","Satar_et_al_2005",3.069488289,0.040240239,16.05223463,0.003366495,33.28722421,0.497124145,26.5,15.45,8.75,0.952395098,8,5,-14.86282999,"fit",0.496396750254499,26.7769705319795,6.43867214733827,33.2156426793178
"pop",27.5,0.436,"Aphis","gossypii",NA,NA,NA,NA,NA,"ag2","Satar_et_al_2005",3.069488289,0.040240239,16.05223463,0.003366495,33.28722421,0.497124145,26.5,15.45,8.75,0.952395098,8,5,-14.86282999,"fit",0.496396750254499,26.7769705319795,6.43867214733827,33.2156426793178
"pop",30,0.431,"Aphis","gossypii",NA,NA,NA,NA,NA,"ag2","Satar_et_al_2005",3.069488289,0.040240239,16.05223463,0.003366495,33.28722421,0.497124145,26.5,15.45,8.75,0.952395098,8,5,-14.86282999,"fit",0.496396750254499,26.7769705319795,6.43867214733827,33.2156426793178
"pop",32.5,0.132,"Aphis","gossypii",NA,NA,NA,NA,NA,"ag2","Satar_et_al_2005",3.069488289,0.040240239,16.05223463,0.003366495,33.28722421,0.497124145,26.5,15.45,8.75,0.952395098,8,5,-14.86282999,"fit",0.496396750254499,26.7769705319795,6.43867214733827,33.2156426793178
"pop",10,0.064,"Aphis","gossypii",NA,NA,NA,NA,NA,"ag3","ZamaniEA2006",3.834350188,0.023597438,12.97025589,0.002513503,32.91646066,0.44930992,26.8,14.38,8.06,0.985806196,5,5,-8.190306334,"fit",0.454455174941184,26.9278329308316,5.73714436669624,32.6649772975278
"pop",15,0.18,"Aphis","gossypii",NA,NA,NA,NA,NA,"ag3","ZamaniEA2006",3.834350188,0.023597438,12.97025589,0.002513503,32.91646066,0.44930992,26.8,14.38,8.06,0.985806196,5,5,-8.190306334,"fit",0.454455174941184,26.9278329308316,5.73714436669624,32.6649772975278
"pop",20,0.325,"Aphis","gossypii",NA,NA,NA,NA,NA,"ag3","ZamaniEA2006",3.834350188,0.023597438,12.97025589,0.002513503,32.91646066,0.44930992,26.8,14.38,8.06,0.985806196,5,5,-8.190306334,"fit",0.454455174941184,26.9278329308316,5.73714436669624,32.6649772975278
"pop",25,0.419,"Aphis","gossypii",NA,NA,NA,NA,NA,"ag3","ZamaniEA2006",3.834350188,0.023597438,12.97025589,0.002513503,32.91646066,0.44930992,26.8,14.38,8.06,0.985806196,5,5,-8.190306334,"fit",0.454455174941184,26.9278329308316,5.73714436669624,32.6649772975278
"pop",30,0.363,"Aphis","gossypii",NA,NA,NA,NA,NA,"ag3","ZamaniEA2006",3.834350188,0.023597438,12.97025589,0.002513503,32.91646066,0.44930992,26.8,14.38,8.06,0.985806196,5,5,-8.190306334,"fit",0.454455174941184,26.9278329308316,5.73714436669624,32.6649772975278
"pho",9.32,2.195,"Agropyron","smithii","NetCO2assimilation","nanomole/cm^2sec",NA,NA,NA,"ags1photo","MonsonEA1982_Fig1",1.482808469,1.702873824,11.35142617,0.000508014,55.71861968,4.870205541,37.1,40.92,24.03,0.98237383,14,5,-55.42655317,"biochem",4.86652111002617,37.6439827721863,17.498476096362,55.1424588685483
"pho",12.028,2.734,"Agropyron","smithii","NetCO2assimilation","nanomole/cm^2sec",NA,NA,NA,"ags1photo","MonsonEA1982_Fig1",1.482808469,1.702873824,11.35142617,0.000508014,55.71861968,4.870205541,37.1,40.92,24.03,0.98237383,14,5,-55.42655317,"biochem",4.86652111002617,37.6439827721863,17.498476096362,55.1424588685483
"pho",14.949,3.192,"Agropyron","smithii","NetCO2assimilation","nanomole/cm^2sec",NA,NA,NA,"ags1photo","MonsonEA1982_Fig1",1.482808469,1.702873824,11.35142617,0.000508014,55.71861968,4.870205541,37.1,40.92,24.03,0.98237383,14,5,-55.42655317,"biochem",4.86652111002617,37.6439827721863,17.498476096362,55.1424588685483
"pho",19.939,3.739,"Agropyron","smithii","NetCO2assimilation","nanomole/cm^2sec",NA,NA,NA,"ags1photo","MonsonEA1982_Fig1",1.482808469,1.702873824,11.35142617,0.000508014,55.71861968,4.870205541,37.1,40.92,24.03,0.98237383,14,5,-55.42655317,"biochem",4.86652111002617,37.6439827721863,17.498476096362,55.1424588685483
"pho",24.746,4.172,"Agropyron","smithii","NetCO2assimilation","nanomole/cm^2sec",NA,NA,NA,"ags1photo","MonsonEA1982_Fig1",1.482808469,1.702873824,11.35142617,0.000508014,55.71861968,4.870205541,37.1,40.92,24.03,0.98237383,14,5,-55.42655317,"biochem",4.86652111002617,37.6439827721863,17.498476096362,55.1424588685483
"pho",29.767,4.532,"Agropyron","smithii","NetCO2assimilation","nanomole/cm^2sec",NA,NA,NA,"ags1photo","MonsonEA1982_Fig1",1.482808469,1.702873824,11.35142617,0.000508014,55.71861968,4.870205541,37.1,40.92,24.03,0.98237383,14,5,-55.42655317,"biochem",4.86652111002617,37.6439827721863,17.498476096362,55.1424588685483
