TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20040101,5.419,0.0,183.097,101.896,0.0,281.321,0.0,4.285,0.0,84.23,0.0,0.0,0.0,2.119,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-8.89117,3.0,54.9216,0.0,64.6617,-9999,-9999,-9999,65.153,0.0,75.7837,-9999,-9999,-9999,-1.82456,0.0,-9999,-1.92369,-1.89454,-1.82456,0.0,0.0,0.0,0.538422,0.458624,0.537954,0.60294,2.40365,2.36202,2.4157,2.4402,1.22781,1.23722,1.92739,2.24801,2.14554,1.64975,1.91946,2.12952,-9999,-9999
20040102,5.975,0.0,183.719,93.724,0.0,285.901,0.0,4.35,0.0,83.947,0.0,0.0,0.0,1.48,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-12.98,3.0,54.2621,0.0,63.339,-9999,-9999,-9999,49.7167,0.0,57.3282,-9999,-9999,-9999,-1.88926,0.0,-9999,-1.99391,-1.96468,-1.89458,0.0,0.0,0.0,0.553801,0.472099,0.553801,0.619134,2.49434,2.4528,2.50189,2.52089,1.24106,1.25058,1.9482,2.27228,2.08066,1.58854,1.8527,2.06457,-9999,-9999
20040103,3.923,0.0,184.397,116.283,0.0,239.659,0.0,5.045,0.0,84.057,0.0,0.0,0.0,1.295,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-12.5624,3.0,54.5569,0.0,63.1677,-9999,-9999,-9999,65.153,0.0,75.4362,-9999,-9999,-9999,-1.81503,0.0,-9999,-1.91303,-1.89072,-1.81503,0.0,0.0,0.0,0.497052,0.4184,0.496871,0.557044,2.34473,2.33143,2.36066,2.40573,1.19218,1.20132,1.87147,2.18278,2.24927,1.71003,2.02729,2.23342,-9999,-9999
20040104,3.52,0.0,185.134,103.056,0.0,245.104,0.0,5.055,0.0,84.213,0.0,0.0,0.0,0.967,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-8.89117,3.0,54.9216,0.0,63.3541,-9999,-9999,-9999,65.153,0.0,75.1563,-9999,-9999,-9999,-1.82456,0.0,-9999,-1.92369,-1.89454,-1.82456,0.0,0.0,0.0,0.488114,0.410888,0.487953,0.547049,2.34387,2.31572,2.3637,2.39114,1.1803,1.18935,1.85282,2.16102,2.15253,1.6533,1.92695,2.13653,-9999,-9999
20040105,4.29,0.0,185.928,116.188,0.0,233.734,0.0,4.695,0.0,84.489,0.0,0.0,0.0,1.33,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-12.98,3.0,54.2621,0.0,62.1369,-9999,-9999,-9999,49.7167,0.0,56.9318,-9999,-9999,-9999,-1.88926,0.0,-9999,-1.99391,-1.96468,-1.89458,0.0,0.0,0.0,0.506553,0.428028,0.506303,0.56761,2.43676,2.40632,2.45168,2.47098,1.20161,1.21083,1.88628,2.20005,2.25391,1.7131,2.0312,2.23801,-9999,-9999
20040106,3.754,0.0,186.778,109.424,0.0,243.032,0.0,4.821,0.0,84.49,0.0,0.0,0.0,1.275,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-12.5624,3.0,54.5569,0.0,62.2401,-9999,-9999,-9999,65.153,0.0,74.3284,-9999,-9999,-9999,-1.81503,0.0,-9999,-1.91303,-1.89072,-1.81503,0.0,0.0,0.0,0.493091,0.414873,0.492926,0.552623,2.34034,2.3279,2.35627,2.40174,1.18737,1.19648,1.86392,2.17397,2.20315,1.68218,1.97873,2.18718,-9999,-9999
20040107,3.803,0.0,187.685,108.142,0.0,248.897,0.0,4.816,0.0,84.432,0.0,0.0,0.0,1.908,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-8.89117,3.0,54.9216,0.0,62.4202,-9999,-9999,-9999,65.153,0.0,74.0484,-9999,-9999,-9999,-1.82456,0.0,-9999,-1.92369,-1.89454,-1.82456,0.0,0.0,0.0,0.49459,0.416788,0.494403,0.554276,2.3511,2.32127,2.36985,2.39765,1.18831,1.19742,1.86539,2.17569,2.18665,1.67266,1.9628,2.17073,-9999,-9999
20040108,4.794,0.0,188.647,111.036,0.0,264.768,0.0,4.695,0.0,84.506,0.0,0.0,0.0,2.75,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-12.98,3.0,54.2621,0.0,61.8938,-9999,-9999,-9999,49.7167,0.0,56.7091,-9999,-9999,-9999,-1.88926,0.0,-9999,-1.99391,-1.96468,-1.89458,0.0,0.0,0.0,0.522469,0.444781,0.522005,0.585186,2.45723,2.4244,2.46873,2.48668,1.21136,1.22065,1.90157,2.21789,2.21917,1.69092,1.99446,2.20317,-9999,-9999
20040109,7.4,0.0,189.667,100.065,0.0,302.899,0.0,4.477,0.0,84.719,0.0,0.0,0.0,2.612,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-12.5624,3.0,54.5569,0.0,62.5561,-9999,-9999,-9999,65.153,0.0,74.7058,-9999,-9999,-9999,-1.81503,0.0,-9999,-1.91303,-1.89072,-1.81503,0.0,0.0,0.0,0.594822,0.518281,0.594822,0.661606,2.46416,2.4308,2.47038,2.49978,1.2731,1.28287,1.9985,2.33094,2.13083,1.63582,1.90398,2.11477,-9999,-9999
20040110,7.239,0.0,190.74,109.488,0.0,287.907,0.0,4.454,0.0,84.791,0.0,0.0,0.0,1.591,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-8.89117,3.0,54.9216,0.0,63.2003,-9999,-9999,-9999,65.153,0.0,74.9738,-9999,-9999,-9999,-1.82456,0.0,-9999,-1.92369,-1.89454,-1.82456,0.0,0.0,0.0,0.590592,0.514119,0.590592,0.657095,2.46804,2.41934,2.47247,2.49956,1.26893,1.27866,1.99195,2.3233,2.21873,1.69279,1.99238,2.20264,-9999,-9999
